sort.v2024,species_code,Clements.v2024b.change,text.for.website.v2024b,category,English.name,scientific.name,range,order,family,extinct,extinct.year,sort_v2023,canada_ak_conus
256,empgoo,NA,NA,species,Emperor Goose,Anser canagicus,"breeds in northeastern Siberia and western Alaska; primarily winters in Alaska, from the Aleutian Islands to the Alaska Peninsula",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,255,TRUE
257,snogoo,NA,NA,species,Snow Goose,Anser caerulescens,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,256,TRUE
258,snogoo1,NA,NA,subspecies,NA,Anser caerulescens caerulescens,breeds from northeastern Siberia and Alaska to northwestern and north-central Canada; winters in the southern USA from California to New York and to northern Mexico,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,257,FALSE
259,snogoo2,NA,NA,subspecies,NA,Anser caerulescens atlanticus,northwestern Greenland and islands in Baffin Bay; winters to northeastern Mexico,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,258,FALSE
261,rosgoo,NA,NA,species,Ross's Goose,Anser rossii,breeds tundra of arctic north-central Canada; winters to western and central USA and central Mexico,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,260,TRUE
264,gragoo,NA,NA,species,Graylag Goose,Anser anser,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,263,FALSE
276,gwfgoo,NA,NA,species,Greater White-fronted Goose,Anser albifrons,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,271,TRUE
288,lwfgoo,NA,NA,species,Lesser White-fronted Goose,Anser erythropus,"breeds arctic Eurasia; winters to southern Europe, India, and China",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,282,FALSE
289,y00707,NA,NA,slash,Greater/Lesser White-fronted Goose,Anser albifrons/erythropus,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,283,FALSE
290,taibeg1,NA,NA,species,Taiga Bean-Goose,Anser fabalis,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,284,FALSE
294,tunbeg1,NA,NA,species,Tundra Bean-Goose,Anser serrirostris,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,288,FALSE
299,pifgoo,NA,NA,species,Pink-footed Goose,Anser brachyrhynchus,"breeds Greenland, Iceland, and Spitsbergen; winters northwestern Europe",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,293,FALSE
301,anser1,NA,NA,spuh,Anser sp.,Anser sp.,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,295,FALSE
302,brant,NA,NA,species,Brant,Branta bernicla,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,296,TRUE
305,blkbra1,NA,NA,group (monotypic),Brant (Black),Branta bernicla nigricans,"breeds northeastern Siberia, western and northern Alaska, and northwestern Canada; winters from from Japan to Korea and northeastern China, and from Alaska to northwestern Mexico",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,299,TRUE
310,bargoo,NA,NA,species,Barnacle Goose,Branta leucopsis,"high Arctic eastern Greenland, Svalbard (north of Norway), Novaya Zemlya and nearby Kolguyev and Vaygach islands (northwestern Russia); winters to coastal northern British Isles, southern Scandinavia, and northwestern Europe",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,304,FALSE
319,cacgoo1,NA,NA,species,Cackling Goose,Branta hutchinsii,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,313,TRUE
320,alcgoo1,NA,NA,group (monotypic),Cackling Goose (Aleutian),Branta hutchinsii leucopareia,"locally in Aleutian and Semidi islands, Alaska (formerly bred from Kuril and Commander islands eastward to near Kodiak Island); winters Oregon and California",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,314,FALSE
322,cacgoo2,NA,NA,group (monotypic),Cackling Goose (minima),Branta hutchinsii minima,breeds coastal western Alaska; winters primarily in California,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,316,FALSE
330,cangoo,NA,NA,species,Canada Goose,Branta canadensis,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,324,TRUE
338,cangoo9,NA,NA,subspecies,NA,Branta canadensis parvipes,central Alaska to Canadian prairie provinces; winters southern USA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,332,FALSE
351,y00470,NA,NA,slash,Cackling/Canada Goose,Branta hutchinsii/canadensis,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,345,FALSE
353,hawgoo,NA,NA,species,Hawaiian Goose,Branta sandvicensis,upland lava flows of Hawaii; introduced to Maui,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,347,FALSE
355,rebgoo1,NA,NA,species,Red-breasted Goose,Branta ruficollis,"breeds low Arctic tundra of Yamal, Gydan, and Taymyr peninsulas (northwestern Siberia); winters to western and southern Black Sea and southern Caspian Sea; prone to vagrancy elsewhere in Eurasia",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,348,FALSE
359,branta1,NA,NA,spuh,Branta sp.,Branta sp.,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,352,FALSE
365,mutswa,NA,NA,species,Mute Swan,Cygnus olor,"west-central to east-central Palearctic region from central Europe to southeastern China; introduced widely including to western and southwestern Europe, Japan, and eastern North America",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,358,TRUE
367,blkswa,NA,NA,species,Black Swan,Cygnus atratus,"Australia including Tasmania; New Zealand, where formerly occurred but was eradicated, later was reintroduced and also self-colonized",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,360,FALSE
370,truswa,NA,NA,species,Trumpeter Swan,Cygnus buccinator,North America from western and central Alaska eastward through east-central Canada and southward through western and central USA; some southward movement in winter; early extirpations and subsequent reintroductions cloud distributional knowledge,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,363,TRUE
372,tunswa,NA,NA,species,Tundra Swan,Cygnus columbianus,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,365,TRUE
378,whoswa,NA,NA,species,Whooper Swan,Cygnus cygnus,Palearctic; winters to central Asia and southeastern China,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,371,FALSE
382,swan1,NA,NA,spuh,swan sp.,Cygnus sp.,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,375,FALSE
389,uplgoo1,NA,NA,species,Upland Goose,Chloephaga picta,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,382,FALSE
401,goose1,NA,NA,spuh,goose sp.,Anatidae (goose sp.),NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,393,FALSE
405,egygoo,NA,NA,species,Egyptian Goose,Alopochen aegyptiaca,"Nile Valley of Egypt and Sudan, and sub-Saharan Africa; introduced to western and central Europe, and southeastern USA",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,397,TRUE
408,rudshe,NA,NA,species,Ruddy Shelduck,Tadorna ferruginea,"breeds Iberian Peninsula and Mediterranean northern Africa eastward through southern Russia to eastern China and in the south through Türkiye to Tibetan Plateau including Ladakh; winters to Ethiopia, southern India, and southeastern Asia; introduced in central Europe and the Canary Islands, and appears frequently elsewhere",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,400,FALSE
413,comshe,NA,NA,species,Common Shelduck,Tadorna tadorna,breeds western Europe to east-central Asia; winters to northern Africa through southern Asia,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,405,FALSE
416,spwgoo1,NA,NA,species,Spur-winged Goose,Plectropterus gambensis,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,408,FALSE
431,musduc,NA,NA,species,Muscovy Duck,Cairina moschata,"lowlands from northern Mexico south, west of the Andes, to southwestern Ecuador and, east of the Andes, to northeastern Argentina and Brazil",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,423,TRUE
441,wooduc,NA,NA,species,Wood Duck,Aix sponsa,"inland waters of Canada to northern Mexico, the Bahamas, and Cuba",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,433,TRUE
461,baitea,NA,NA,species,Baikal Teal,Sibirionetta formosa,"breeds in northern and eastern Siberia; winters Japan, Korea, and eastern China",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,453,FALSE
462,gargan,NA,NA,species,Garganey,Spatula querquedula,breeds Palearctic (except north); winters to central Africa through Indonesia,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,454,FALSE
468,buwtea,NA,NA,species,Blue-winged Teal,Spatula discors,"breeds North America (except Arctic and western Alaska), mostly in central prairie regions; winters northern Mexico to Caribbean and coastal northern South America",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,460,TRUE
469,cintea,NA,NA,species,Cinnamon Teal,Spatula cyanoptera,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,461,TRUE
478,redsho1,NA,NA,species,Red Shoveler,Spatula platalea,southern Peru and southern Brazil to Tierra del Fuego and Falkland Islands,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,469,FALSE
483,norsho,NA,NA,species,Northern Shoveler,Spatula clypeata,"breeds Holarctic (except Arctic); winters through eastern Africa, southern Asia, and Central America",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,474,TRUE
487,gadwal,NA,NA,species,Gadwall,Mareca strepera,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,478,TRUE
491,falduc,NA,NA,species,Falcated Duck,Mareca falcata,"breeds Mongolia, eastern Siberia, and northeastern China; winters northern India to southern and eastern China, southern Korean Peninsula, and Japan",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,482,FALSE
494,eurwig,NA,NA,species,Eurasian Wigeon,Mareca penelope,breeds northern and central Eurasia; winters to northern Africa and southern Asia,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,485,TRUE
497,amewig,NA,NA,species,American Wigeon,Mareca americana,breeds Alaska to southern USA; winters through Central America and the Caribbean,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,487,TRUE
504,chiwig1,NA,NA,species,Chiloe Wigeon,Mareca sibilatrix,southern South America and Falkland Islands; winters to southeastern Brazil,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,494,FALSE
514,pabduc1,NA,NA,species,Pacific Black Duck,Anas superciliosa,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,504,FALSE
515,pabduc2,NA,NA,subspecies,NA,Anas superciliosa superciliosa,"Sumatra, Java, Bali, Lesser Sundas, Sulawesi region, Moluccas, southern New Guinea including Louisiade Archipelago (off southeastern New Guinea), Australia including Tasmania, and New Zealand and associated islands southward to Macquarie Island",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,505,FALSE
517,layduc,NA,NA,species,Laysan Duck,Anas laysanensis,Laysan Island (northwestern Hawaiian Islands),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,507,FALSE
518,hawduc,NA,NA,species,Hawaiian Duck,Anas wyvilliana,Hawaiian Islands (Kauai and Oahu),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,508,FALSE
523,spbduc,NA,NA,species,Eastern Spot-billed Duck,Anas zonorhyncha,"breeds northeastern Asia; winters to southern China, Taiwan, and Philippines",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,513,FALSE
525,mallar3,NA,NA,species,Mallard,Anas platyrhynchos,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,515,TRUE
528,mallar2,NA,NA,domestic,Mallard (Domestic type),Anas platyrhynchos (Domestic type),NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,518,FALSE
547,mexduc,NA,NA,species,Mexican Duck,Anas diazi,"southeastern Arizona, southern New Mexico and western Texas (Trans-Pecos region) southward to central Mexico",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,534,TRUE
550,ambduc,NA,NA,species,American Black Duck,Anas rubripes,northeastern North America; winters to Bahamas and Gulf Coast,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,537,TRUE
554,motduc,NA,NA,species,Mottled Duck,Anas fulvigula,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,541,TRUE
563,captea1,NA,NA,species,Cape Teal,Anas capensis,locally from Sudan and Ethiopia to Namibia and South Africa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,550,FALSE
564,whcpin,NA,NA,species,White-cheeked Pintail,Anas bahamensis,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,551,FALSE
567,whcpin4,NA,NA,subspecies,NA,Anas bahamensis rubrirostris,Pacific coast of South America from Ecuador southward to central Chile; eastern South America from eastern Bolivia eastward to central and eastern Brazil and southward to northern Argentina and Uruguay,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,554,FALSE
571,norpin,NA,NA,species,Northern Pintail,Anas acuta,Palearctic and North America; winters to southern Eurasia and northern South America,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,558,TRUE
588,gnwtea,NA,NA,species,Green-winged Teal,Anas crecca,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,574,TRUE
590,agwtea1,NA,NA,group (monotypic),Green-winged Teal (American),Anas crecca carolinensis,breeds North America; winters to Mexico and West Indies,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,576,FALSE
605,yebtea1,NA,NA,species,Yellow-billed Teal,Anas flavirostris,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,591,FALSE
609,spetea1,NA,NA,slash,Andean/Yellow-billed Teal,Anas andium/flavirostris,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,595,FALSE
628,anas1,NA,NA,spuh,Anas sp.,Anas sp.,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,614,FALSE
630,dabduc1,NA,NA,spuh,dabbling duck sp.,Anatidae sp. (dabbling duck sp.),NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,616,FALSE
635,recpoc,NA,NA,species,Red-crested Pochard,Netta rufina,"breeds from Europe (Iberian Peninsula northward to southern Denmark and Poland) eastward to central Asia (northwestern China and western Mongolia); somewhat local in Europe, more widespread to east; resident in southwestern Europe; elsewhere, winters from eastern Mediterranean eastward to northern India, south-central China, and northern Myanmar",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,621,FALSE
640,robpoc1,NA,NA,species,Rosy-billed Pochard,Netta peposaca,lowlands of southeastern Brazil to southern Argentina and Chile,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,626,FALSE
641,canvas,NA,NA,species,Canvasback,Aythya valisineria,"breeds North America from northern Alaska and western Canada southward through northern California, southern Colorado, and Minnesota (USA); winters to central Mexico",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,627,TRUE
642,redhea,NA,NA,species,Redhead,Aythya americana,Alaska to southern USA; winters to Guatemala and Greater Antilles,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,628,TRUE
645,compoc,NA,NA,species,Common Pochard,Aythya ferina,"Palearctic, breeding British Isles and southern Scandinavia eastward through east-central Russia, in south from Iberian Peninsula and Türkiye eastward through northeastern China; winters to tropical Africa and India eastward to Japan and southward to the northern Philippines",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,631,FALSE
648,rinduc,NA,NA,species,Ring-necked Duck,Aythya collaris,breeds Alaska to southern USA; winters to Panama and southern Lesser Antilles,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,634,TRUE
652,ferduc,NA,NA,species,Ferruginous Duck,Aythya nyroca,"discontinuous Palearctic; winters to India, southeastern Asia, and eastern China",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,638,FALSE
662,tufduc,NA,NA,species,Tufted Duck,Aythya fuligula,"breeds northern Palearctic from Iceland eastward to Kamchatka, southward to central Europe and Mongolia; winters to northern Africa and southern Asia",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,648,TRUE
669,gresca,NA,NA,species,Greater Scaup,Aythya marila,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,655,TRUE
675,lessca,range,"range changed from ""breeds North America from northern Alaska and western Canada southward through northern California, southern Colorado, and Minnesota (USA); winters to Hawaiian Islands,  the Caribbean, and northern South America"" to ""breeds North America from northern Alaska and western Canada southward through northern California, southern Colorado, and Minnesota (USA); winters to Hawaiian Islands, the Caribbean, and northern South America""",species,Lesser Scaup,Aythya affinis,"breeds North America from northern Alaska and western Canada southward through northern California, southern Colorado, and Minnesota (USA); winters to Hawaiian Islands, the Caribbean, and northern South America",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,661,TRUE
683,scaup,NA,NA,slash,Greater/Lesser Scaup,Aythya marila/affinis,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,669,TRUE
684,aythya1,NA,NA,spuh,Aythya sp.,Aythya sp.,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,670,FALSE
685,steeid,NA,NA,species,Steller's Eider,Polysticta stelleri,"northwestern and northeastern Siberia from Yamal Peninsula to Chukotka; and Arctic Coastal Plain, northern Alaska; winters to Kamchatka Peninsula, Commander and Kuril islands (southeastern Russia), and Aleutian Islands; also Kola Peninsula, Barents and White seas (northwestern Russia), and Baltic Sea",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,671,TRUE
686,labduc,NA,NA,species,Labrador Duck,Camptorhynchus labradorius,"formerly northeastern North America; extinct, last reported 1875",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",1,1875,672,FALSE
687,speeid,NA,NA,species,Spectacled Eider,Somateria fischeri,"breeds north-central and northeastern Siberia from Lena Delta to Chukotka, and western and northern Alaska in Yukon Delta and Arctic Coastal Plain; winters polynyas (ice-free seas) between St. Lawrence and St. Matthew islands (northern Bering Sea)",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,673,TRUE
688,kineid,NA,NA,species,King Eider,Somateria spectabilis,"breeds coastal northern and central Greenland, Svalbard (north of Norway), Russia from east of the White Sea to Chukotka (northeastern Russia); Arctic Coastal Plain of Alaska, northern slope of Canada and associated arctic islands; winters to Kamchatka (southeastern Russia) and Aleutian Islands, Newfoundland (southeastern Canada), southern Greenland, Iceland, and northern Norway",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,674,TRUE
690,comeid,NA,NA,species,Common Eider,Somateria mollissima,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,676,TRUE
701,eider1,NA,NA,spuh,eider sp.,Somateria sp.,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,686,FALSE
702,harduc,NA,NA,species,Harlequin Duck,Histrionicus histrionicus,"breeds eastern Siberia and northern Japan, Alaska southward to Oregon and Wyoming, eastern Canada (southeastern Baffin Island southward to the Gulf of St. Lawrence), Greenland and Iceland; winters coastally from Siberia to Japan and Korea, from Alaska to central California, to the northeastern USA, southern Greenland, and Iceland",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,687,TRUE
703,sursco,NA,NA,species,Surf Scoter,Melanitta perspicillata,breeds northern North America; winters to Baja California and southern USA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,688,TRUE
704,whwsco3,NA,NA,species,Velvet Scoter,Melanitta fusca,breeds northern Eurasia; winters Norway to Spain and Caspian Sea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,689,FALSE
705,whwsco2,NA,NA,species,White-winged Scoter,Melanitta deglandi,breeds subarctic western Alaska to eastern shore of James Bay (east-central Canada); winters Aleutian Islands to central California (eastern North Pacific coast); and Gulf of St. Lawrence to New Jersey,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,690,TRUE
706,whwsco1,NA,NA,species,Stejneger's Scoter,Melanitta stejnegeri,"breeds Yenisey Basin to Kamchatka (central and eastern Siberia), northeastern Kazakhstan, and northern and western Mongolia; winters to Kuril and Commander islands (southeastern Russia), coasts of Japan, and eastern Korean Peninsula (northeastern Pacific)",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,691,FALSE
711,blksco1,NA,NA,species,Common Scoter,Melanitta nigra,"breeds southeastern Greenland, Iceland, Scotland, and northern and western Scandinavia to Olenyok River (north-central Siberia); winters to Baltic and North sea coasts, and eastern Atlantic coast to northwestern Africa",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,695,FALSE
712,blksco2,NA,NA,species,Black Scoter,Melanitta americana,"breeds Yana River to Kamchatka (eastern Siberia), Alaska eastward to northwestern Yukon; eastern Northwest Territories and southwestern Nunavut to Newfoundland (central to eastern Canada); winters to central Japan (western North Pacific coast); Aleutian Islands, eastern North Pacific coast to central California; western North Atlantic coast from Newfoundland to northern Florida",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,696,TRUE
715,scoter,NA,NA,spuh,scoter sp.,Melanitta sp.,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,699,TRUE
716,lotduc,NA,NA,species,Long-tailed Duck,Clangula hyemalis,coasts of Holarctic region,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,700,TRUE
717,buffle,NA,NA,species,Bufflehead,Bucephala albeola,breeds northern North America; winters to central Mexico and Greater Antilles,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,701,TRUE
718,comgol,NA,NA,species,Common Goldeneye,Bucephala clangula,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,702,TRUE
723,bargol,NA,NA,species,Barrow's Goldeneye,Bucephala islandica,"breeds central Alaska southward to Oregon (formerly to northern California) and Wyoming; also in eastern Canada and Iceland; winters from southern Alaska to California and Wyoming, from the Maritime Provinces (Canada) southward to northeastern USA, and Iceland",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,707,TRUE
727,smew,NA,NA,species,Smew,Mergellus albellus,"northern Eurasia; winters to North Africa, India, and eastern China",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,710,FALSE
729,hoomer,NA,NA,species,Hooded Merganser,Lophodytes cucullatus,breeds northern North America; winters to Mexico and West Indies,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,712,TRUE
737,commer,NA,NA,species,Common Merganser,Mergus merganser,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,720,TRUE
745,rebmer,NA,NA,species,Red-breasted Merganser,Mergus serrator,"breeds southern Greenland, Iceland, northern British Isles, and Scandinavia to Sakhalin and Kamchatka peninsulas, and Kuril and Commander islands (southeastern Russia), in south through northern Kazakhstan and northeastern China; western Alaska mainland through mainland Canada from Arctic to northern Great Lakes and eastward to Nova Scotia; winters to coasts of southern Europe, Black and Caspian seas; Japan, Korean Peninsula, and eastern China; to west-central Mexico, Gulf Coast, and Florida",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,728,TRUE
750,mergan1,NA,NA,spuh,merganser sp.,Mergellus/Lophodytes/Mergus sp.,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,733,FALSE
751,blhduc1,NA,NA,species,Black-headed Duck,Heteronetta atricapilla,lowlands of southern South America,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,734,FALSE
752,masduc,NA,NA,species,Masked Duck,Nomonyx dominicus,"northeastern Mexico and Caribbean southward to South America; west of the Andes to western Ecuador, and east of the Andes to northern Argentina and Brazil",Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,735,FALSE
753,rudduc,NA,NA,species,Ruddy Duck,Oxyura jamaicensis,interior northwestern North America (southwestern Canada to Mexico); West Indies,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,736,TRUE
755,andduc1,NA,NA,species,Andean Duck,Oxyura ferruginea,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,738,FALSE
758,whhduc1,NA,NA,species,White-headed Duck,Oxyura leucocephala,patchily distributed Mediterranean basin to central Asia,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,741,FALSE
760,macduc1,NA,NA,species,Maccoa Duck,Oxyura maccoa,local in highlands of eastern and southern Africa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,743,FALSE
768,waterf1,NA,NA,spuh,waterfowl sp.,Anatidae sp.,NA,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,751,FALSE
